id,left,top,right,bottom,xcoord,ycoord
314,-48.443771362158600,-23.532325744837181,-47.443771362158600,-24.532325744837181,-47.9437713621586,-24.0323257448372
316,-47.443771362158600,-4.532325744837180,-46.443771362158600,-5.532325744837180,-46.9437713621586,-5.03232574483718
317,-47.443771362158600,-5.532325744837180,-46.443771362158600,-6.532325744837180,-46.9437713621586,-6.03232574483718
318,-47.443771362158600,-6.532325744837180,-46.443771362158600,-7.532325744837180,-46.9437713621586,-7.03232574483718
319,-47.443771362158600,-7.532325744837180,-46.443771362158600,-8.532325744837182,-46.9437713621586,-8.03232574483718
320,-47.443771362158600,-8.532325744837182,-46.443771362158600,-9.532325744837181,-46.9437713621586,-9.03232574483718
321,-47.443771362158600,-9.532325744837181,-46.443771362158600,-10.532325744837181,-46.9437713621586,-10.0323257448372
322,-47.443771362158600,-10.532325744837181,-46.443771362158600,-11.532325744837181,-46.9437713621586,-11.0323257448372
323,-47.443771362158600,-11.532325744837181,-46.443771362158600,-12.532325744837181,-46.9437713621586,-12.0323257448372
324,-47.443771362158600,-12.532325744837181,-46.443771362158600,-13.532325744837181,-46.9437713621586,-13.0323257448372
